title,arist,lyrics
I Miss The Days,NF,"I miss the days when
I had a smile on my face and
Wasn't so caught up in all of the small things
Wasn't so adamant that I could handle everything alone
And wasn't so cautious, and always exhausted
And actually listened to things that my heart said, heart said
Ridin' my bike, just ridin' my bike
Not overthinkin' my life
Not always wonderin' if I'm a likable person
Or someone that nobody likes
Not always stressin' 'bout money
Or losin' my job or scared I ain't makin' the flight
Not always going to bed every night
With this knot in my stomach that never unwinds

What happened to me? Yeah, what happened to me?
When did I start to believe I wasn't worth it
And question my purpose to breath?
Wonderin' who I should be, happiness outta my reach
Scared to get back on my feet
Need to get rid of what's detrimental
But it's hard to let go
When the thing that hurt you helped you get to your dream
See, I miss the days when I wasn't so faded
Love wasn't always invasive, I could embrace it
Just innocent, waitin', not always living in anguish
When did I break and become over taken?
What was the moment I caved and gave away all of my faith
And made a replacement? I miss the days when, I miss the days when

I miss the smiles we had when we were young
I miss the memories of feeling love
I miss us runnin' underneath the sun
Staring out the window when the rain would come
I miss the smiles we had when we were kids, yeah
I feel like life was so much simpler then, yeah
When we had joy and we were innocent
I'd give it all to feel that way again, way again

Gimme my mind back, yeah, gimme my mind back
The one that told me I was worth something when I fall flat, yeah fall flat
The one that told me I was worth something when I'm off track
Back when my imagination wasn't in a cage
And it was free to run fast
Yeah, gimme my mind back, gimme my-gimme my mind back
Before it was hi-jacked and wasn't described as
A place of limitation always indicating I can't
Handle everything from my past
Handed anything it dissects
Till I'm depressed, I know I'm blessed
But I'm cursed too

Take me back when, I was happy but I wasn't acting
Vulnerable but didn't see it like some kinda weakness
Or a thing that's unattractive
Had emotion but I learned to mask it
Didn't know what I was running after
Didn't know the older I would grow the more I lose control
And takin' all the baggage, it's really sad when
Everything you thought was stable crashes
Everything you thought would take the sadness
Really only made it deeper, got me off the deep end askin'
Will we ever feel like we imagine?
Will we ever feel like we adapted?
Will we ever feel like we did back then?
Just take me back when, just take me back when

I miss the smiles we had when we were young
I miss the memories of feeling love
I miss us runnin' underneath the sun
Staring out the window when the rain would come
I miss the smiles we had when we were kids, yeah
I feel like life was so much simpler then, yeah
When we had joy and we were innocent
I'd give it all to feel that way again, way again

Yeah

Yeah
I miss the smiles we had when we were young
I miss the memories of feeling love
I miss us runnin' underneath the sun
Staring out the window when the rain would come
I miss the smiles we had when we were kids, yeah
I feel like life was so much simpler then, yeah
When we had joy and we were innocent
I'd give it all to feel that way again, way again"
Lose You To Love Me,Selena Gomez,"You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off-key in my chorus
'Cause it wasn't yours
I saw the signs and I ignored it
Rose-colored glasses all distorted
Set fire to my purpose
And I let it burn
You got off on the hurtin'
When it wasn't yours, yeah

We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me

I gave my all and they all know it
You tore me down and now it's showing
In two months you replaced us
Like it was easy
Made me think I deserved it
In the thick of healing, yeah

We'd always go into it blindly
I needed to lose you to find me
This dancing was killing me softly
I needed to hate you to love me, yeah

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me

You promised the world and I fell for it
I put you first and you adored it
Set fires to my forest
And you let it burn
Sang off key in my chorus

To love, love, yeah
To love, love, yeah
To love, yeah
I needed to hate you to love me, yeah
To love, love, yeah
To love, love, yeah
To love, yeah
I needed to lose you to love me
To love, love, yeah
To love, love, yeah
To love, yeah

And now the chapter is closed and done
To love love, yeah
To love love, yeah
To love, yeah
And now it's goodbye, it's goodbye for us"
"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",Landon Austin & Kaya May,"This was all you, none of it me
You put your hands on, on my body and told me
Mmm
You told me you were ready
For the big one, for the big jump
I'd be your last love everlasting you and me
Mmm
That was what you told me

I'm giving you up
I've forgiven it all
You set me free-ee

Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that is where I'm gonna be, because I wanna be
Yeah, I don't wanna sit still, look pretty

Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We gotta let go of all of our ghosts
We both know we ain't kids no more

Could dress up
To get love
But guess what?
I'm never gonna be that girl
Who's living in a Barbie world

Could wake up
And make up
And play dumb
Pretending that I need a boy
Who's gonna treat me like a toy

I know the other girlies wanna wear expensive things
Like diamond rings
But I don't wanna be the puppet that you're playing on a string
This queen don't need a king

Send my love to your new lover
Treat her better
That is where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty
Send my love to your new lover
Treat her better
That is where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty

You're a pretty girl (If you're ready)
Up in a pretty world (If you're ready)
And they say pretty hurts (If you're ready)
And you don't wanna sit still (If you're ready)

You're a pretty girl (If you're ready)
Up in a pretty world (If you're ready)
And they say pretty hurts (If you're ready)
And they say pretty hurts (If you're ready)

You're a pretty girl (If you're ready)
Up in a pretty world (If you're ready)
And they say pretty hurts (If you're ready)
And you don't wanna sit still (If you're ready)

You're a pretty girl (If you're ready)
Up in a pretty world (If you're ready)
And they say pretty hurts (If you're ready)
We ain't kids no more

Oh, I don't know what you've been told
But this girl right here's gonna rule the world
Yeah, that is where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty

Send my love to your new lover
Treat her better
That is where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty
Send my love to your new lover
Treat her better
That is where I'm gonna be, because I wanna be
No, I don't wanna sit still, look pretty

Sit still, look pretty"
Sorry Not Sorry,Demi Lovato,"Payback is a bad bitch
And baby, I'm the baddest

Now I'm out here looking like revenge
Feelin' like a 10, the best I ever been
And yeah, I know how bad it must hurt
To see me like this, but it gets worse (wait a minute)
Now you're out here looking like regret
Ain't too proud to beg, second chance you'll never get
And yeah, I know how bad it must hurt to see me like this
But it gets worse (wait a minute)

Now payback is a bad bitch
And baby, I'm the baddest
You're fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Baby, fineness is the way to kill
Tell me how it feel, bet it's such a bitter pill
And yeah, I know you thought you had bigger, better things
Bet right now this stings (wait a minute)
'Cause the grass is greener under me
Bright as technicolor, I can tell that you can see
And yeah, I know how bad it must hurt to see me like this
But it gets worse (wait a minute)

Now payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby
Oh yeah
Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby

Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Being so bad got me feelin' so good
Showing you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feeling inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

Payback is a bad bitch
And baby, I'm the baddest
I'm the baddest, I'm the baddest"
Flibbity Hibbity,GAWNE,"So a lot of people said that my last record ain't no diss.
Well mama ain't raise no bitch
I'ma come back on you like I'm Thanos with the gauntlet
You the GAWD but I'm the one with the halo rings...
Unh.
And you the new Blueface
Rapping off beat like he was Bobby Boucher
M-m-m-mama said!
Water boy.
Got his whole fan base in his hand drinking that Kool-Aid.
Now I'm bout to go flbbity hibbity
LOL JK
Just because I rap like an AK doesn't mean I can't slow it down and murder you at your own game old man.
You're almost 28 I'm 23 by the time I'm your age I'ma be bigger than the YouTube scene while you gon' be a no name
Backpack rapping for the love of the damn game
You wanted smoke?
I'm the propane hit him with that profane.
Kill him quick.
Send his ass to probate.
You about as potent as cocaine
If the shit was low-grade
Yeah I Benedict (been a dick) like the Pope's name.
You never want a Luke Gawne rap.
I don't gotta brag just to prove that fact.
Someone give seconds his Juul pod back cause if he tries to smoke me I'll make his lungs turn black.
Facts.
You know I go ham
They need to let him know he's a walking dead man...
Cause I don't need a plan all I gotta do is get up on the mic and talk about that moe-fucking head band!
You lookin' like Naruto.
Teenage Mutant (Ninja Turtles) -
Stupid moe fucker I smoke him like charcoal
Lookin' like LeBron with the headband when he couldn't make a 3-point shot
I could do the shit with my left hand
Married to the game no best man
Me, myself and I
I'ma weapon
Murder any rapper who was thinkin' about steppin'
That includes this bitch.
Little VI Seconds!
6, 5, 4, 3, 2.
When it hits one just know that you're through.
I got you in my scopes and you gon' need more than a beanie cap to cover your head when I shoot!
Take the nose ring off
Shizzy done went and got a sex change dog...
How you gonna claim you the battle rap God when this mother fucker went and got his breasts enlarged...?
I told you not to test me dawg...
Why does shit always have to get mess? Ah!
My last round seemed not to impress you all but this round I'm making you my last name Seconds is GAWNE! (gone)
Bitch I'm the King like I'm Kong!
Dropping the bomb because I put the Kim in the Jong like a nuclear bomb when I'm launching it through your abdominal HONEST TO God!
6 minus 5 is my number
Fan base watching you lose what a bummer...
Princess VI gettin' burned by the kid but at least she's having one HOT GIRL SUMMER!
You can bet I'm raw
Even when I fall
Always bounce back like a tennis ball
It's V-I
Getting his ass kicked
When I put my foot through his Levi's
FEE FI (fo fum)
I'ma rap GIANT.
You're just knee high.
Someone tell GAWD if we box that I'll leave him bleeding so bad he's gon' need a fucking TAMPON!
Damn.
The ice pack is in the fridge.
Next to the ranch and the cypher you did.
You and the fridge, you got something in common you're both going cold when the fourth quarter hits.
Unh.
Bitch.
I am the shit
Wiping my ass with the raps that you did.
I murdered you when we was both on the cypher now murdered again in the form of a diss.
OJ's wife I'ma hit you with the sludge tell the mother fucking judge that the glove don't fit
This the return of the comeback kid
I was down round one but the 12th round knockout hits
Lookin' like Medusa with the hairline
Don't you dare try fucking with me I'm a scary guy
You are like a grounded airline
No air time
911 I'ma crash a Boeing 747 into Tower 7
Bring the whole house down
Like New Years start the countdown
Only VI Seconds till the ball drops and I come out on top
I could do flbbity hibbity all day but this records proving I'm God
And let's talk about this
You say you're Mike Tyson well shit...
I guess it makes sense
You both got a gap in your teeth and a lisp.
You sound like Daffy Duck when you spit!
I'm sic secnds ima battl rapin bich
You too old to be rapping like you got a tooth pulled
Novocaine couldn't numb the pain of what I do though.
Claiming that you quick but you movin' like a Sumo!
Why you so salty?
VI seconds lookin' like a bowl of ramen noodles (salty)
That is food for
Thought.
Think about that line when you taking that loss...
Rap battle jump ball toss
You gon' catch hands like Moss (Randy)
Lookin' like a deer in the headlights Bambi someone send a note to his family that he caught this hook LIKE SANDY...
Mother fucker you a one hit wonder no hit records I rap better you playin' checkers I'm playing chess get the body bag, zip the black leather!
Undefeated like Mayweather
And a storms coming so your fans turning fairweather
As I send God back home to heaven
Fuck everybody
Who doubted me
I'm going out
With my last round
In that damn chamber
And I won't miss
Like I'm oswald
While you're anne frank in the gas chamber"
Dancing With Your Ghost,Sasha Sloan,"Yelling at the sky
Screaming at the world
Baby, why'd you go away?
I'm still your girl
Holding on too tight
Head up in the clouds
Heaven only knows
Where you are now

How do I love
How do I love again?
How do I trust
How do I trust again?

I stay up all night
Tell myself I'm alright
Baby, you're just harder to see than most
I put the record on
Wait till I hear our song
Every night I'm dancing with your ghost
Every night I'm dancing with your ghost

Never got the chance
To say a last goodbye
I gotta move on
But it hurts to try

How do I love
How do I love again?
How do I trust
How do I trust again?

I stay up all night
Tell myself I'm alright
Baby, you're just harder to see than most
I put the record on
Wait till I hear our song
Every night I'm dancing with your ghost
Every night I'm dancing with your ghost

How do I love
How do I love again?
How do I trust
How do I trust again?

I stay up all night
Tell myself I'm alright
Baby, you're just harder to see than most
I put the record on
Wait till I hear our song
Every night I'm dancing with your ghost
Every night I'm dancing with your ghost
Every night I'm dancing with your ghost"
Fade,James Arthur,"One day, one day,
One day, it all will fade
One day, one day,
One day, it all will fade
Empty moments, sleepless nights
Think about you every night
Wondering what went wrong
What we had once seemed so right
But just as quick youíre out of sight
You talk to me with words like moving on

Did it seem so simple to you?
Was I just another thing for you to do?
Did you ever mean the things you said?
Or was I just another notch on your bed?

I thought you needed me too
I thought your feelings were true
I thought your head was in my space
But now youíve proven me wrong
But I will rise and be strong
And one day soon this pain will fade

One day, one day,
One day, it all will fade
I just wanted things to be so good
A simple life just simple love
Something hard to find these days
But you thought life owes you more than this
With your magazines and shopping trips
One day your beauty will fade

Did it seem so simple to you?
Was I just another thing for you to do?
Did you ever mean the things you said?
Was I just another notch on your bed?

I thought you needed me too
I thought your feelings were true
I thought your head was in my space
But now youíve proven me wrong
But I will rise and be strong
And one day soon this pain will fade

I thought you needed me too
I thought your feelings were true
I thought your head was in my space
But now youíve proven me wrong
And I will rise and be strong
And one day soon this pain will fade

One day, one day,
One day, it all will fade"
Certain Things,James Arthur,"[Verse:]
Something about you
It's like an addiction
Hit me with your best shot honey
I've got no reason to doubt you
'Cause certain things hurt
And you're my only virtue
And I'm virtually yours

[Pre-Chorus:]
And you keep coming back, coming back again
Keep running round, running round, running round my head

[Chorus:]
And there's certain things that I adore
And there's certain things that I ignore
But I'm certain that I'm yours
Certain that I'm yours
Certain that I'm yours

[Verse:]
There's something about you
It's when you get angry
You have me at your mercy
And you're like the shoulder to turn to
'Cause certain things mend us when we're hanging on for dear life
We held on so tight

[Pre-Chorus:]
And you keep coming back, coming back again
Keep running round, running round, running round my head

[Chorus x2:]
And there's certain things that I adore
And there's certain things that I ignore
But I'm certain that I'm yours
Certain that I'm yours
Certain that I'm yours

I adore you... I adore you...
Certain that I'm yours"
King Of The Clouds,Panic! At The Disco,"Heaven knows that I'm born too late for these ghosts that I chase
With these dreams, I inflate, painted skies in my brain
Every day, I'm Carl Sagan in space
To escape this old world, this old world

Some days I lie wide awake 'til the Sun hits my face
And I fade, elevate from the Earth
Far away to a place where I'm free from the weight
This old world, this old world

I don't trust anything
Or anyone, below the Sun
And I don't feel anything
At all

I'm King of the clouds, of the clouds
I get lifted, I get lifted
King of the clouds, of the clouds
I get lifted, I get lifted

Some only live to die, I'm alive to fly higher
Than angels in outfields inside of my mind
I'm ascending these ladders, I'm climbin', say goodbye
This old world, this old world

And when I fall to rise with stardust in my eyes
In the backbone of night, I'm combustible
Dust in the fire when I can't sleep a wink, I'm too tired
This old world, this old world

I don't trust anything
Or anyone, below the Sun
And I don't feel anything
At all

I'm King of the clouds, of the clouds
I get lifted, I get lifted
King of the clouds, of the clouds
I get lifted, I get lifted
Imagination, take me somewhere I don't know
I'm lost but I better find it alone
King of the clouds, of the clouds
I get lifted, I get lifted

I keep searching
Oh, I keep searching
I keep searching"
Tattoos Together,Lauv,"Said I'd never fall, I'd never fall
I'd never fall but then I fell for you, mm
Back against the wall, against the wall
Against the wall, that's how it felt with you, mm, mm

One weekend in Portland
You weren't even my girlfriend
We were walkin' and talkin'
Then somebody said, let's get

Tattoos together, something to remember
If it's way too soon, fuck it, whatever
Give me shapes and letters
If it's not forever, then at least we'll have tattoos together

Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm

Knew it from the moment, from the moment
From the moment that I saw you naked, mm, yeah
I could never love nobody else, nobody else
The way I loved you baby, mm, mm

One weekend (Weekend), no sleepin' (Sleepin')
You weren't even my girlfriend, yeah
We were kissin', like, real kissin'
Then somebody said, let's get

Tattoos together, something to remember
If it's way too soon, fuck it, whatever
Give me shapes and letters
If it's not forever, then at least we'll have tattoos together

Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm, tattoos together

Yeah, your cherry earrings are my favorite (Favorite)
It looks so good, I had to save it (Save it)
I've been hopin', prayin' we last forever
'Cause there's nothing better than you and I

Tattoos together, something to remember
If it's way too soon, fuck it, whatever
Give me shapes and letters
If it's not forever, then at least we'll have tattoos together

Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm, 'cause I love you
Mmm, oh

Oh yeah
Mmm, oh yeah
Mmm, huh"
none,none,none
Told You So,Paramore,"For all I know
The best is over and the worst is yet to come
Is it enough?
To keep on hoping when the rest have given up?
And they go

I hate to say I told you so
But they love to say they told me so
I hate to say I told you so
But they love to say they told me

Say they say they told me
Say they say they told me
You say, you say you told me

I know you like
When I admit that I was wrong and you were right
At least I try
To keep my cool when I am thrown into a fire
And they go

I hate to say I told you so
But they love to say they told me so
I hate to say I told you so
But they love to say they told me

Say they say they told me
Say they say they told me
You say, you say you told me

Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again

Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again
Throw me into the fire
Throw me in, pull me out again

I hate to say I told you so
But they love to say they told me so
I hate to say I told you so
But they love to say they told me

(Throw me into the fire
Throw me in, pull me out again)
Say they say they told me
(Throw me into the fire
Throw me in, pull me out again)
Say they say they told me
(Throw me into the fire
Throw me in, pull me out again)
You say, you say you told me
Say they told me, say they told me, told you so"
Narcissist,No Rome,"(You got me like)
(You got me like)

[No Rome:]
Took a picture of all my flaws
Or you can take a video on your phone
And you know that I would talk
But I'm too afraid to pick you up and go home
I'm feeling Dazed like a magazine
Finding my own sanity
Wishing it'll all go away
Now we're smoking off the balcony
You're telling me profanities
Maybe it was never okay

345, that's where we stayed
She told me I'm a narcissist doing it again
Took a bunch of acid and she told me, not again
Now I've gotta tell her that I'm lovin' her friends
345, that's where we stayed
She told me I'm a narcissist doing it again
Took a bunch of acid and she told me, not again
Now I've gotta tell her that I'm lovin' her friends

[Matty Healy:]
And I've been seeing somebody
But I've not found a way to tell you
That I'm seeing somebody
There's not a nice way for me to say that
I've been seeing somebody
You know I want you to be happy
Since I'm seeing somebody
And then maybe we can get on with it

[No Rome:]
Stay out late, I just wanna get stoned
Telling all your friends that I'm never at home
And my face filling up with blood
But you're still saying they don't like your bourgeois
Coughing up the promethazine
Living like an evergreen
Sorry for the things that I've done
Now Selena won't be friends with me
I was kissing Emily
I love you, it was never your fault
(Got me like)

345, that's where we stayed
She told me I'm a narcissist doing it again
Took a bunch of acid and she told me, not again
Now I've gotta tell her that I'm lovin' her friends

[Matty Healy:]
And I've been seeing somebody
But I've not found a way to tell you
That I'm seeing somebody
There's not a nice way for me to say that
I've been seeing somebody
You know I want you to be happy
Since I'm seeing somebody
And then maybe we can get on with it

(Got me like)
(Got me like)
Seeing somebody
(You got me like)

[No Rome:]
345, that's where we stayed
She told me I'm a narcissist doing it again
Took a bunch of acid and she told me, not again
Now I've gotta tell her that I'm lovin' her friends"
restless soul,flor,"When you're alone
Do you feel the sadness?
It falls away
Then sneak inside and cloud my vision
It takes its toll, it gives me to the darkness
And it's hard to keep my light from burning out

Oh don't you tire your restless soul
You're running, you're running oh
In place, you're going nowhere fast, you know
Calm and lay down your restless soul
You're wearing
You're wearing out
No currents coming from your restless soul

I'm sure you know
I've been looking for answers
But I'm searching in the lost and quiet places
Oh and you know
I'm never going to find truth
When I'm asking in a crowd of foreign faces

Oh don't you tire your restless soul
You're running, you're running
Oh in place, you're going nowhere fast, you know
Calm and lay down your restless soul
You're wearing
You're wearing out
No currents coming from your restless soul

Oh don't you tire your restless soul
You're running, you're running
Oh in place, you're going nowhere fast, you know
Calm and lay down your restless soul
You're wearing
You're wearing out
No currents coming from your restless soul"
Talk,Khalid,"Can we just talk?
Can we just talk?
Talk about where we're going?
Before we get lost
Lend me your thoughts
Can't get what we want without knowin'

I've never felt like this before
I apologize if I'm movin' too far

Can we just talk?
Can we just talk?
Figure out where we're goin', yeah

Started off right
I can see it in your eyes
I can tell that you're wanting more
What's been on your mind?
There's no reason we should hide
Tell me somethin' I ain't heard before

Oh, I've been dreamin' 'bout it
And it's you I'm on
So stop thinkin' 'bout it

Can we just talk?
Can we just talk?
Talk about where we're going?
Before we get lost
Lend me your thoughts
Can't get what we want without knowin'

I've never felt like this before
I apologize if I'm movin' too far

Can we just talk?
Can we just talk?
Figure out where we're goin', oh now

Penthouse view
Left some flowers in the room
I make sure I leave the door unlocked
Now I'm on the way
Swear I won't be late
I'll be there by five o'clock

Oh, you've been dreamin' 'bout it
And I'm what you want
So stop thinkin' 'bout it

Can we just talk?
Can we just talk
Talk about where we're going?
Before we get lost
Lend me your thoughts
Can't get what we want without knowin'

I've never felt like this before
I apologize if I'm movin' too far

Can we just talk?
Can we just talk?
Figure out where we're goin'

Figure out where we're goin'"
Sweet But Psycho,Samantha Harvey,"Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind
She's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind

She'll make you curse, but she a blessing
She'll rip your shirt within a second
You'll be coming back, back for seconds
With your plate, you just can't help it

No, no
You'll play along
Let her lead you on
You'll be sayin', No, no
Then saying, Yes, yes, yes
'Cause she messin' with your head

Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind
She's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind

Grab a cop gun. Kinda crazy
She's poison but tasty
People say, Run, don't walk away
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind...

See, someone said, Don't drink her potions
She'll kiss your neck with no emotions
When she's mean, you know you love it
Cause she tastes so sweet. Don't sugarcoat it

No, no
You'll play along
Let her lead you on
You'll be saying, No, no
Then saying, Yes, yes, yes
'Cause she messin' with your head

Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind
She's hot but a psycho
So left but she's right though
At night she's screamin', I'm-ma-ma-ma out my mind

Grab a cop gun. Kinda crazy
She's poison but tasty
People say, Run, don't walk away
Oh, she's sweet but a psycho
A little bit psycho
At night she's screamin', I'm-ma-ma-ma out my mind

I'm-ma-ma-ma out my mind"
